author,channel,cid,heart,photo,text,time,votes
Renny Calista,UC0AdPcJf-vComlQwSpG2KLQ,UgzMBxF1GeNc-HszxNN4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQg0b6DF9pu1PNrj5hqE87RNtfmVv8-cvL6pc_FYIXissoucHyPEDoNDuHtuyM2=s176-c-k-c0x00ffffff-no-rj,Suatu saat kupunya mobil ini...mimpi dulu🙏😘,2 months ago,0
Faizal Yusuf,UC8zY-5aHZQfGlaEcr1q0Heg,UgwVOGuGsnpqIZGVgbl4AaABAg,0.0,https://yt3.ggpht.com/PjELIcuAmQrxdRY7IH3yIoQ4gpIEmXhtPROBO9kh8CrUOi_ewY2bX5d0n9G3yveAg3R0PW4kjA=s176-c-k-c0x00ffffff-no-rj,Request Type G om,2 months ago,0
Jack Martin,UCscxDicworRzlsqvVZZn6kw,UgyPg47t9-_ls-LEVqZ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLSMlizO6LTExwqMSIpuew9gYjsJjt1O2D6kzqzBDc5pB-fjDnPOKx-Wi9lT5tUs=s176-c-k-c0x00ffffff-no-rj,"Sama sprt Avanza, Rush, Agya, Calya semuanya Daihatsu, hanya pakai emblem Toyota",2 months ago,0
Tommy Lim,UCvBkYidQ0EpT77QSWdZWAYg,UgwTO8D839kNjR1BAop4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLRKxs3PyzjKOTyTVMNkSxreRu14oqJxynI5XHe-=s176-c-k-c0x00ffffff-no-rj,"RAIZE INI FWD ATAU RWD? 
Tolong bantu jawab",2 months ago,0
Agus Maryono,UCWPLpJdbax4vCQk9_v9kyGg,UgyX6DlJTXCgtkhXEaB4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLTgREZJY10OvcV_70r3_uH4mWzb8GBL3YqkRw=s176-c-k-c0x00ffffff-no-rj,Ford ecosport 1.0 turbo 2020 https://youtu.be/Zj6JfOEVkG0,2 months ago,0
Achmad Kahfi,UCkWsWv5pGSqQ2wzqPW-4Unw,Ugxc4TzxtrKNQ4Rkwsh4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLRfy7LeBwx77TGqAZ2agyE0BlpKJs6ja26cw8gwl3VVnjw6LNSuOXRnrkLipg0u=s176-c-k-c0x00ffffff-no-rj,"iklan youtube, iklan di konten, makin banyak ya iklannya pak, hehe",2 months ago,0
Mr.D,UCB5yPUZEj2GCJtO6EbI-D3g,UgzHsBJ7YVZgMovLoGh4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQFz4DtcBbv48eKpq65OVg-tnh-hHfPUZ6qcEVzgQ=s176-c-k-c0x00ffffff-no-rj,"Yg paling mengganggu adalah 3 silinder nya sih, kesan nya kaya LCGC",3 months ago,0
ad1kurniawan,UCZaMyba0wPGlUm1l5WkqLtg,UgyIcyrWLoT5F-Uhi8d4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQx8RHI2tnGPwVtWDjBvlh06iqKik8vGfm_MEJZ=s176-c-k-c0x00ffffff-no-rj,"Om, ud lama ga bikin video tentang raize/rocky lg nih. Bandingin yg 1000cc turbo n 1200cc dong om, dr oktan bensin, fitur, keiritan, spek, drag race, dll. Tq",3 months ago,0
Vinny Jap,UC3iGSr_sLAlnGC4ZiuAu54w,UgyrNSn87fpW7c7os-N4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLRUtUGTLHrqcUzoDcn4tArRPEukPSplDuMUd8_mpQ=s176-c-k-c0x00ffffff-no-rj,"Yang 1200cc Matic, 4 cylinder mesinnya ?",3 months ago,0
Stefanus Adi Tirtoadji,UCitxI7HmNOa9NAdF-crXJZA,UgxUXT32X70wbEn1rQN4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQt6dx1Tcpaziyuan3t5PUgvqW89gFfRkZC5_vifSI=s176-c-k-c0x00ffffff-no-rj,Nabung.. nabung... 😍😍😍👍👍👍,3 months ago,0
Dewi R_Tunas Toyota Pecenongan,UCy7mSK9DzUe1lorC0WpmcWA,UgxaXVjMI1TNIl7AH894AaABAg.9SjgTAM3ZH89U459pOOh5T,0.0,https://yt3.ggpht.com/xdPUT0HNggvC3VQ4limsANkGyHB5oSPndYd0-Aj17xM-BtEZ0Hwtjoz5Civm7HVeUL3-L6JvZg=s176-c-k-c0x00ffffff-no-rj,Halo kak bisa dibantu untuk info dan pemesanan mobil Toyota nya dengan saya. Makasih 😊🙏,4 weeks ago,0
Tiara Rizqy,UCglwgO_hLgvQ_S6ntHpZnAg,UgzE8XdtX5UUxnriDRp4AaABAg.9SV70AKUts19Sgjta9Wx5h,0.0,https://yt3.ggpht.com/cyukVkbkKzbhrTFgFf5cgTO8jqTO2eMzG2-nHlrk9bj5CjYgJCzkFD0LXKhSpBSB-MPTpG7XyQ=s176-c-k-c0x00ffffff-no-rj,Betuuuul teh cocok buat cewe. Aku kemarin ngerasain duduknya aja pas banget,2 months ago,0
Reza Yanglain,UCvXPa0RTTFWTbQMn_C116-w,Ugx6o7fGIQj61azJHSl4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLSxdGLjmsZRIBAcGaXZIV0z67isTczwbXQj0Q=s176-c-k-c0x00ffffff-no-rj,Fix beli 😁,3 months ago,0
Benk Beng,UCH7Wv-qDHzxIv-JIQTN_Xrg,UgxV-bt3RjJPfqrDJZN4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQZLCEhCE47vcjm3X_GGQLaSJx0FqNRW4B6KdZer_mGIa6l0rVJEBAC7PCH04c3=s176-c-k-c0x00ffffff-no-rj,Intinya banyak ga enaknya ya om?,3 months ago,0
ASUS 09,UC61y00KK4ECP_4alwsLhFug,Ugx6HfNq3cLg3fPbvRp4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLTnl-OhMqLYq7lA74-7qaFF6tocLEQDu_csqokTuA=s176-c-k-c0x00ffffff-no-rj,28:27 tin tin mu 🤣,3 months ago,0
